case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method,selected_method,selected_q
0.9162393162393162,0.9767267702473093,0.9170103092783505,52.406837606837605,48.0,99.60000000000002,0.9948717948717949,0.9532599529054399,0.0,3,0,safe_pacs,global,
0.9247863247863248,0.9750738449747113,0.9280550774526679,50.92136752136752,46.0,96.0,0.9846153846153847,0.9593145915946456,0.0,3,1,global,global,
0.9282051282051282,0.9803724471326918,0.9396428571428572,59.4034188034188,58.0,70.0,0.9897435897435898,0.9658080366647284,0.0,3,1,pacs_cv,adaptive,0.65
0.9179487179487179,0.9770573208814601,0.9295566502463054,50.84615384615385,50.0,73.0,0.9880341880341881,0.9609684025621819,0.0,3,1,safe_pacs,adaptive,0.85
0.905982905982906,0.969146757602656,0.9,52.68888888888889,48.0,96.0,0.9811965811965812,0.9523928989744739,0.0,3,2,global,global,
0.8991452991452992,0.9660162208917504,0.8968421052631578,52.6051282051282,50.0,61.0,0.976068376068376,0.9570964861964881,0.0,3,2,pacs_cv,adaptive,0.5
0.9025641025641026,0.966601984639338,0.9,52.91794871794872,50.0,64.0,0.976068376068376,0.9579234126813094,0.0,3,2,safe_pacs,adaptive,0.65
0.9264957264957265,0.9744539782728112,0.9285714285714286,64.67350427350428,58.0,118.0,0.9863247863247864,0.9594718883695063,0.0,3,3,global,global,
0.9230769230769231,0.9755826344883695,0.9252747252747253,58.256410256410255,58.0,73.0,0.9846153846153847,0.9605181952165727,0.0,3,3,pacs_cv,adaptive,0.75
0.9230769230769231,0.9755826344883695,0.9252747252747253,58.256410256410255,58.0,73.0,0.9846153846153847,0.9605181952165727,0.0,3,3,safe_pacs,adaptive,0.75
0.9128205128205128,0.9703170491024419,0.915819209039548,48.924786324786325,44.0,93.60000000000002,0.9846153846153847,0.9515646888342961,0.0,4,0,global,global,
0.9264957264957265,0.9714090446645456,0.9230769230769231,48.452991452991455,49.0,72.60000000000002,0.9829059829059829,0.957516904681027,0.0,4,0,pacs_cv,adaptive,0.85
0.9264957264957265,0.9714090446645456,0.9230769230769231,48.452991452991455,49.0,72.60000000000002,0.9829059829059829,0.957516904681027,0.0,4,0,safe_pacs,adaptive,0.85
0.8735042735042735,0.9644941400995003,0.875,40.28547008547009,36.0,74.0,0.9880341880341881,0.9380651935930634,0.0,4,1,global,global,
