case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,method,q_mass,alpha_case,model,rep,ntrain,ncal,ntest
0.8974358974358975,0.931273733525994,0.7954545454545454,30.61025641025641,28.0,55.60000000000002,0.9572649572649573,0.9038248659405497,0.0,panel_quantile_global,0.8,0.1,2,0,778,584,585
0.8974358974358975,0.9358427367665644,0.7896103896103897,43.858119658119655,36.0,95.60000000000002,0.9623931623931624,0.8967305555916509,0.0,pacs,0.8,0.1,2,0,778,584,585
0.7606837606837606,0.8567494436842249,0.5714285714285714,11.283760683760685,10.0,20.0,0.9111111111111111,0.7747004810945805,0.0,top1_cp,0.8,0.1,3,0,778,584,585
0.8717948717948718,0.9134071682950053,0.7194805194805196,19.283760683760683,18.0,35.0,0.9538461538461539,0.8594236926419179,0.0,mccp10,0.8,0.1,3,0,778,584,585
0.8683760683760684,0.9100220114449362,0.7142857142857144,18.533333333333335,17.0,34.0,0.9521367521367521,0.8540185899517472,0.0,soft_exact,0.8,0.1,3,0,778,584,585
0.9128205128205128,0.9430057771013524,0.8199413489736072,30.367521367521366,28.0,57.0,0.9726495726495726,0.9054916625488241,0.0,panel_quantile_global,0.8,0.1,3,0,778,584,585
0.905982905982906,0.9399930689167556,0.8,34.07863247863248,27.0,74.60000000000002,0.9794871794871794,0.8828960590682748,0.0,pacs,0.8,0.1,3,0,778,584,585
0.6512820512820513,0.8795190505668534,0.6446753246753248,12.370940170940171,12.0,21.600000000000023,0.9299145299145299,0.8173679273293712,0.0,top1_cp,0.9,0.1,0,0,778,584,585
0.7213675213675214,0.9055912731605156,0.7142857142857144,15.96068376068376,15.0,29.0,0.9452991452991453,0.852124352230187,0.0,mccp10,0.9,0.1,0,0,778,584,585
0.717948717948718,0.9043519569211993,0.7142857142857143,15.784615384615385,14.0,29.0,0.9435897435897436,0.8515308099699782,0.0,soft_exact,0.9,0.1,0,0,778,584,585
0.9094017094017094,0.9718532796561941,0.9,55.04786324786325,50.0,106.0,0.9829059829059829,0.9526248044220249,0.0,panel_quantile_global,0.9,0.1,0,0,778,584,585
0.9213675213675213,0.9739773982696179,0.9163133640552996,67.36410256410257,60.0,132.60000000000002,0.9829059829059829,0.9536213040840293,0.0,pacs,0.9,0.1,0,0,778,584,585
0.5401709401709401,0.8366107014133705,0.5714285714285714,9.14017094017094,9.0,15.0,0.905982905982906,0.7416697698546573,0.0,top1_cp,0.9,0.1,1,0,778,584,585
0.67008547008547,0.8907793975742387,0.6666666666666666,15.087179487179487,14.0,26.600000000000023,0.9418803418803419,0.8337254190160657,0.0,mccp10,0.9,0.1,1,0,778,584,585
0.6683760683760683,0.8896090541699976,0.6666666666666666,14.767521367521368,14.0,26.0,0.9418803418803419,0.8295539455342473,0.0,soft_exact,0.9,0.1,1,0,778,584,585
0.9042735042735043,0.9724668439357893,0.9,49.758974358974356,43.0,91.60000000000002,0.9914529914529915,0.9489938998033384,0.0,panel_quantile_global,0.9,0.1,1,0,778,584,585
0.9042735042735043,0.9722370033624876,0.9,58.287179487179486,45.0,126.0,0.9914529914529915,0.942606721558425,0.0,pacs,0.9,0.1,1,0,778,584,585
0.5914529914529915,0.8386051558701643,0.5384615384615385,11.553846153846154,11.0,20.0,0.8957264957264958,0.7723595384196114,0.0,top1_cp,0.9,0.1,2,0,778,584,585
0.7521367521367521,0.903141249422203,0.6816842105263158,20.702564102564104,18.0,38.0,0.9401709401709402,0.8592117048466417,0.0,mccp10,0.9,0.1,2,0,778,584,585
0.7452991452991453,0.9004717837575485,0.6718379446640316,20.015384615384615,18.0,37.0,0.9384615384615385,0.855497907555341,0.0,soft_exact,0.9,0.1,2,0,778,584,585
0.9111111111111111,0.9673188753399216,0.9152380952380953,59.32136752136752,56.0,108.60000000000002,0.9777777777777777,0.9546156610230557,0.0,panel_quantile_global,0.9,0.1,2,0,778,584,585
0.9094017094017094,0.9634248811839178,0.9152380952380953,69.97606837606837,62.0,150.0,0.9777777777777777,0.9431221797948517,0.0,pacs,0.9,0.1,2,0,778,584,585
0.6136752136752137,0.8567494436842249,0.5714285714285714,11.283760683760685,10.0,20.0,0.9111111111111111,0.7747004810945805,0.0,top1_cp,0.9,0.1,3,0,778,584,585
0.7589743589743589,0.9134071682950053,0.7194805194805196,19.283760683760683,18.0,35.0,0.9538461538461539,0.8594236926419179,0.0,mccp10,0.9,0.1,3,0,778,584,585
0.7504273504273504,0.9100220114449362,0.7142857142857144,18.533333333333335,17.0,34.0,0.9521367521367521,0.8540185899517472,0.0,soft_exact,0.9,0.1,3,0,778,584,585
0.9076923076923077,0.9689047145437742,0.9121212121212121,56.1025641025641,51.0,106.60000000000002,0.9846153846153847,0.949153220666821,0.0,panel_quantile_global,0.9,0.1,3,0,778,584,585
0.9076923076923077,0.9687687770013763,0.9121212121212121,64.74188034188035,54.0,136.60000000000002,0.9829059829059829,0.9496758433961796,0.0,pacs,0.9,0.1,3,0,778,584,585
