case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method,q,gate_gate_threshold,gate_train_gate_rate,gate_cal_gate_rate,gate_use_high_pacs,gate_low_threshold,gate_global_threshold,gate_constant_gate
0.8991452991452992,0.967152966014496,0.8989830508474577,60.40854700854701,54.0,109.0,0.9777777777777777,0.9510218993959891,0.0,1,3,global,0.9,,,,,,,
0.5965811965811966,0.8473769689186075,0.5714285714285714,12.2991452991453,12.0,21.0,0.9042735042735043,0.7690675100572258,0.0,1,3,top1_cp,0.9,,,,,,,
0.7299145299145299,0.903506246178441,0.7142857142857142,19.04957264957265,18.0,33.0,0.9435897435897436,0.8444398403149632,0.0,1,3,mccp10,0.9,,,,,,,
0.8991452991452992,0.9671276963918854,0.8989830508474577,54.95897435897436,53.0,84.60000000000002,0.9794871794871794,0.94777570896277,0.0,1,3,pacs_gated,0.9,0.7819883784927565,0.8830334190231363,0.8938356164383562,True,0.00022609020211684713,0.00022370739245082714,
0.8957264957264958,0.968140698510414,0.8920826161790016,49.323076923076925,44.0,93.0,0.9829059829059829,0.9478512472368703,0.0,2,0,global,0.9,,,,,,,
0.558974358974359,0.8365641613053283,0.5,8.582905982905983,8.0,14.0,0.9042735042735043,0.74953244972459,0.0,2,0,top1_cp,0.9,,,,,,,
0.6820512820512821,0.8913257142573173,0.689423076923077,14.109401709401709,13.0,24.0,0.9435897435897436,0.8277315498478216,0.0,2,0,mccp10,0.9,,,,,,,
0.9025641025641026,0.9675244064422643,0.9,53.955555555555556,47.0,101.0,0.9777777777777777,0.9534181400818748,0.0,2,0,pacs_gated,0.9,0.82334278625001,0.8894601542416453,0.8818493150684932,True,0.000312515498196708,0.00040407232968448295,
0.9264957264957265,0.9777565074834141,0.9295566502463055,50.15897435897436,44.0,96.60000000000002,0.9863247863247864,0.9622131732443562,0.0,2,1,global,0.9,,,,,,,
0.5025641025641026,0.8092133075768149,0.41666666666666663,7.512820512820513,7.0,12.0,0.8700854700854701,0.711897519996363,0.0,2,1,top1_cp,0.9,,,,,,,
0.6974358974358974,0.9010578889629473,0.6953846153846155,15.143589743589743,14.0,27.0,0.9316239316239316,0.84977989830736,0.0,2,1,mccp10,0.9,,,,,,,
0.9145299145299145,0.9764628902536985,0.9267477203647417,54.47179487179487,59.0,81.0,0.9846153846153847,0.9603913156932056,0.0,2,1,pacs_gated,0.9,0.887258263167918,0.8419023136246787,0.8561643835616438,True,0.00078472253867316,0.0004236075165510787,
0.9299145299145299,0.9754572983000809,0.9333333333333333,69.64444444444445,66.0,124.60000000000002,0.9880341880341881,0.9579193960369151,0.0,2,2,global,0.9,,,,,,,
0.5641025641025641,0.8328204578562718,0.5,11.928205128205128,11.0,20.0,0.8871794871794871,0.7545922876536059,0.0,2,2,top1_cp,0.9,,,,,,,
0.7435897435897436,0.9089590378770409,0.7142857142857144,22.6974358974359,20.0,40.0,0.9435897435897436,0.8659443287960346,0.0,2,2,mccp10,0.9,,,,,,,
0.9179487179487179,0.9717615157408336,0.9230769230769231,64.85128205128206,77.0,87.0,0.9829059829059829,0.9554350430308228,0.0,2,2,pacs_gated,0.9,0.8332646149955819,0.8817480719794345,0.8784246575342466,True,0.00014451168190442764,0.00014330508365723092,
0.8957264957264958,0.9686133111364679,0.8928571428571428,56.96068376068376,51.0,102.60000000000002,0.9880341880341881,0.9478747299331037,0.0,2,3,global,0.9,,,,,,,
0.6547008547008547,0.8741260998782259,0.6000000000000001,13.38974358974359,12.0,23.0,0.9316239316239316,0.8052539184351737,0.0,2,3,top1_cp,0.9,,,,,,,
0.7384615384615385,0.911752603621804,0.7142857142857144,19.0991452991453,18.0,33.0,0.9572649572649573,0.8555740778233819,0.0,2,3,mccp10,0.9,,,,,,,
0.8974358974358975,0.9706479859196556,0.8931610942249241,57.54017094017094,61.0,86.0,0.9880341880341881,0.9508756507655222,0.0,2,3,pacs_gated,0.9,0.7975463163700708,0.87146529562982,0.8715753424657534,True,0.0007380383805162146,0.0002564182588280606,
0.8666666666666667,0.9609843399867032,0.8666666666666667,42.49059829059829,38.0,78.0,0.9743589743589743,0.9349146367911046,0.0,3,0,global,0.9,,,,,,,
0.5230769230769231,0.8252360536616978,0.5,8.275213675213676,8.0,14.0,0.8871794871794871,0.7348207896256063,0.0,3,0,top1_cp,0.9,,,,,,,
0.7008547008547008,0.895635030373085,0.6874493927125507,15.169230769230769,14.0,26.600000000000023,0.9316239316239316,0.8410715761933341,0.0,3,0,mccp10,0.9,,,,,,,
0.8888888888888888,0.9651600277302371,0.8888888888888888,48.011965811965815,42.0,83.60000000000002,0.976068376068376,0.945141259942043,0.0,3,0,pacs_gated,0.9,0.8182044344530496,0.8881748071979434,0.8698630136986302,True,0.0030750388475807694,0.0005300207333510472,
0.9230769230769231,0.9752301034640131,0.9324242424242425,52.35042735042735,46.0,99.0,0.9829059829059829,0.9587470566604794,0.0,3,1,global,0.9,,,,,,,
0.505982905982906,0.8087977352696267,0.4536931818181818,7.611965811965812,7.0,13.0,0.8717948717948718,0.7095832170756882,0.0,3,1,top1_cp,0.9,,,,,,,
0.7282051282051282,0.9039019399967446,0.7101045296167249,15.883760683760684,15.0,28.0,0.9333333333333333,0.851711224404689,0.0,3,1,mccp10,0.9,,,,,,,
