dataset,q,rep,global_success,pacs_success,delta_success,global_mean_size,pacs_mean_size,delta_mean_size,global_p90_size,pacs_p90_size,delta_p90_size
NIH,0.8,11,0.9694656488549618,0.9580152671755724,-0.011450381679389388,14.5,14.045801526717558,-0.45419847328244245,16.0,15.0,-1.0
NIH,0.8,12,0.8849206349206349,0.9642857142857144,0.07936507936507953,13.273809523809524,13.642857142857142,0.3690476190476186,16.0,14.0,-2.0
NIH,0.8,13,0.9149797570850202,0.9392712550607288,0.02429149797570862,14.506072874493928,13.906882591093115,-0.5991902834008123,16.0,15.0,-1.0
NIH,0.8,14,0.9117647058823528,0.9495798319327732,0.03781512605042037,13.445378151260504,13.949579831932772,0.5042016806722671,16.0,15.0,-1.0
NIH,0.8,15,0.8888888888888888,0.97119341563786,0.08230452674897115,14.218106995884774,14.473251028806583,0.25514403292180887,16.0,16.0,0.0
NIH,0.8,16,0.9344978165938864,0.925764192139738,-0.008733624454148381,14.034934497816591,13.7117903930131,-0.3231441048034913,16.0,15.0,-1.0
NIH,0.8,17,0.9151785714285714,0.9598214285714286,0.044642857142857206,13.71875,13.892857142857142,0.17410714285714235,16.0,15.0,-1.0
NIH,0.8,18,0.9159663865546218,0.9663865546218487,0.050420168067226934,14.147058823529411,14.6890756302521,0.5420168067226889,16.0,16.0,0.0
NIH,0.8,19,0.8870967741935484,0.9233870967741936,0.03629032258064524,13.564516129032258,13.669354838709678,0.10483870967741993,16.0,15.0,-1.0
NIH,0.8,20,0.9,0.9608695652173912,0.060869565217391175,13.517391304347829,14.28695652173913,0.7695652173913015,16.0,16.0,0.0
NIH,0.8,21,0.9310344827586208,0.9698275862068966,0.0387931034482758,14.02155172413793,14.16810344827586,0.14655172413792883,16.0,15.0,-1.0
NIH,0.8,22,0.907563025210084,0.8991596638655462,-0.008403361344537785,13.533613445378151,12.815126050420169,-0.7184873949579824,16.0,14.0,-2.0
NIH,0.8,23,0.8818565400843882,0.9493670886075948,0.06751054852320659,13.40084388185654,13.873417721518988,0.4725738396624486,16.0,15.0,-1.0
NIH,0.8,24,0.9367588932806324,0.9604743083003952,0.02371541501976271,13.885375494071146,14.16205533596838,0.27667984189723427,16.0,15.0,-1.0
NIH,0.8,25,0.8565573770491803,0.8852459016393442,0.02868852459016391,12.67622950819672,12.745901639344265,0.069672131147545,16.0,14.0,-2.0
NIH,0.8,26,0.9191489361702128,0.948936170212766,0.029787234042553234,14.297872340425531,14.242553191489362,-0.05531914893616907,16.0,16.0,0.0
NIH,0.8,27,0.9209486166007904,0.9446640316205532,0.02371541501976282,14.478260869565217,14.312252964426875,-0.16600790513834163,16.0,15.0,-1.0
NIH,0.8,28,0.8977777777777778,0.9111111111111112,0.01333333333333342,13.27111111111111,13.115555555555556,-0.155555555555555,16.0,14.0,-2.0
NIH,0.8,29,0.9116465863453816,0.9718875502008032,0.06024096385542155,13.803212851405622,14.590361445783133,0.787148594377511,16.0,16.0,0.0
NIH,0.9,0,0.9288702928870292,0.9707112970711296,0.04184100418410042,14.728033472803348,14.97071129707113,0.24267782426778162,16.0,16.0,0.0
NIH,0.9,1,0.9017857142857144,0.9598214285714286,0.05803571428571419,14.638392857142858,15.075892857142858,0.4375,16.0,16.0,0.0
NIH,0.9,2,0.8870292887029289,0.9497907949790796,0.06276150627615074,14.267782426778243,14.690376569037657,0.4225941422594133,16.0,16.0,0.0
NIH,0.9,3,0.9045643153526972,0.979253112033195,0.07468879668049777,14.630705394190873,14.838174273858922,0.20746887966804906,16.0,15.0,-1.0
NIH,0.9,4,0.9083665338645418,0.9641434262948207,0.055776892430278946,14.48605577689243,15.278884462151394,0.7928286852589643,16.0,16.0,0.0
NIH,0.9,5,0.9414414414414416,0.990990990990991,0.049549549549549377,14.545045045045043,15.306306306306306,0.7612612612612626,16.0,16.0,0.0
NIH,0.9,6,0.9025270758122744,0.9530685920577616,0.050541516245487195,14.617328519855596,15.0,0.38267148014440444,16.0,16.0,0.0
NIH,0.9,7,0.8941176470588236,0.9215686274509804,0.027450980392156876,14.47843137254902,14.713725490196078,0.235294117647058,16.0,16.0,0.0
NIH,0.9,8,0.908713692946058,0.983402489626556,0.07468879668049799,14.369294605809127,15.161825726141078,0.792531120331951,16.0,16.0,0.0
NIH,0.9,9,0.9466666666666668,0.9555555555555556,0.008888888888888835,14.724444444444444,15.075555555555557,0.3511111111111127,16.0,16.0,0.0
NIH,0.9,10,0.8928571428571429,0.9761904761904762,0.08333333333333326,14.928571428571429,14.765873015873016,-0.162698412698413,16.0,16.0,0.0
NIH,0.9,11,0.9274809160305344,0.9541984732824428,0.026717557251908386,14.580152671755725,14.931297709923664,0.35114503816793885,16.0,16.0,0.0
NIH,0.9,12,0.9047619047619048,0.98015873015873,0.07539682539682524,14.404761904761903,15.11904761904762,0.7142857142857171,16.0,16.0,0.0
NIH,0.9,13,0.9271255060728744,0.9190283400809716,-0.0080971659919028,14.96761133603239,14.761133603238866,-0.20647773279352322,16.0,16.0,0.0
NIH,0.9,14,0.9159663865546218,0.9663865546218487,0.050420168067226934,14.525210084033612,15.084033613445378,0.5588235294117663,16.0,16.0,0.0
NIH,0.9,15,0.9094650205761317,0.9835390946502056,0.07407407407407396,14.74485596707819,15.34156378600823,0.5967078189300405,16.0,16.0,0.0
NIH,0.9,16,0.9344978165938864,0.960698689956332,0.026200873362445587,15.09170305676856,14.925764192139738,-0.16593886462882246,16.0,16.0,0.0
NIH,0.9,17,0.8973214285714286,0.9776785714285714,0.0803571428571428,14.1875,15.321428571428571,1.1339285714285712,16.0,16.0,0.0
NIH,0.9,18,0.9159663865546218,0.9831932773109244,0.06722689075630262,14.806722689075633,15.222689075630251,0.4159663865546186,16.0,16.0,0.0
NIH,0.9,19,0.8830645161290323,0.9556451612903226,0.07258064516129037,14.338709677419354,14.84274193548387,0.504032258064516,16.0,16.0,0.0
NIH,0.9,20,0.9130434782608696,0.9739130434782608,0.060869565217391175,14.395652173913044,14.978260869565217,0.5826086956521728,16.0,16.0,0.0
NIH,0.9,21,0.9310344827586208,0.9439655172413792,0.012931034482758452,14.72844827586207,14.96551724137931,0.23706896551724022,16.0,16.0,0.0
NIH,0.9,22,0.9285714285714286,0.9285714285714286,0.0,14.894957983193278,14.928571428571429,0.03361344537815114,16.0,16.0,0.0
NIH,0.9,23,0.890295358649789,0.9578059071729956,0.06751054852320659,14.084388185654008,14.860759493670884,0.7763713080168753,16.0,16.0,0.0
NIH,0.9,24,0.9446640316205532,0.9683794466403162,0.02371541501976293,14.711462450592885,15.15810276679842,0.446640316205535,16.0,16.0,0.0
NIH,0.9,25,0.9057377049180328,0.9467213114754098,0.040983606557376984,14.5327868852459,14.364754098360656,-0.16803278688524337,16.0,15.0,-1.0
NIH,0.9,26,0.8936170212765957,0.9702127659574468,0.07659574468085106,14.697872340425532,15.31063829787234,0.6127659574468076,16.0,16.0,0.0
NIH,0.9,27,0.9288537549407114,0.9683794466403162,0.03952569169960474,15.209486166007904,15.213438735177863,0.003952569169959119,16.0,16.0,0.0
NIH,0.9,28,0.88,0.96,0.07999999999999996,14.044444444444444,15.062222222222225,1.0177777777777806,16.0,16.0,0.0
NIH,0.9,29,0.8875502008032129,0.9759036144578314,0.08835341365461846,14.393574297188756,15.132530120481928,0.7389558232931712,16.0,16.0,0.0
CIFAR-10H,0.7,0,0.8983333333333333,0.9693333333333334,0.07100000000000006,1.0903333333333334,1.7626666666666666,0.6723333333333332,1.0,3.0,2.0
CIFAR-10H,0.7,1,0.8923333333333333,0.967,0.07466666666666666,1.0916666666666666,1.825,0.7333333333333334,1.0,3.0,2.0
CIFAR-10H,0.7,2,0.892,0.9686666666666668,0.07666666666666677,1.0993333333333333,1.711,0.6116666666666668,1.0,3.0,2.0
CIFAR-10H,0.7,3,0.892,0.965,0.07299999999999995,1.0786666666666669,1.6763333333333332,0.5976666666666663,1.0,3.0,2.0
CIFAR-10H,0.7,4,0.899,0.976,0.07699999999999996,1.084,1.8073333333333328,0.7233333333333327,1.0,3.0,2.0
CIFAR-10H,0.7,5,0.8946666666666667,0.9733333333333334,0.07866666666666666,1.071,1.738,0.667,1.0,3.0,2.0
